max_depth,learning_rate,subsample,colsample_bytree,best_iteration,val_auc,val_log_loss,val_accuracy,val_brier
3,0.1,0.7,0.85,85,0.810091017192731,0.5239842641561823,0.7203226964583641,0.17737090587615967
3,0.1,0.7,1.0,85,0.810219125474912,0.5237477584305463,0.7196891301134084,0.1773242950439453
3,0.1,0.85,0.7,89,0.8100626897306594,0.5238020137701758,0.7201537454330426,0.17735138535499573
3,0.1,0.85,0.85,87,0.8098364616497635,0.5242799994360293,0.7202804587020337,0.17751477658748627
3,0.1,0.85,1.0,72,0.8101715330192678,0.5239582423054228,0.7199003188950603,0.17738492786884308
3,0.1,1.0,0.7,72,0.8097161187764106,0.5243864578888192,0.7202171020675382,0.17751799523830414
3,0.1,1.0,0.85,70,0.8095744975231869,0.5243676447909968,0.7200270321640514,0.17758674919605255
3,0.1,1.0,1.0,67,0.8097073783426718,0.5243933405053409,0.7200692699203818,0.17757074534893036
4,0.01,0.6,0.7,584,0.8103683176672194,0.5236988582698119,0.7213786403666237,0.17724154889583588
4,0.01,0.6,0.85,598,0.8103141756846806,0.5237175674142236,0.7210829760723111,0.17724934220314026
4,0.01,0.6,1.0,583,0.8101608880309226,0.5239624630250548,0.7203438153365294,0.17734870314598083
4,0.01,0.7,0.7,599,0.8102511211002348,0.5238316623847022,0.7211674515849718,0.1772916615009308
4,0.01,0.7,0.85,599,0.8102865128095793,0.5238061487913642,0.7208295495343288,0.17728306353092194
4,0.01,0.7,1.0,599,0.8101408612155073,0.5239750957314564,0.7198369622605647,0.17735691368579865
4,0.01,0.85,0.7,593,0.8102843236868609,0.5237774456503256,0.7211463327068066,0.17727866768836975
4,0.01,0.85,0.85,588,0.8101029039328385,0.5239911005856014,0.7205550041181813,0.1773531287908554
4,0.01,0.85,1.0,589,0.8100259911489505,0.5241315539138187,0.719984794407721,0.1774163544178009
4,0.01,1.0,0.7,598,0.8100135067266014,0.5239733300788227,0.7214208781229541,0.17736957967281342
4,0.01,1.0,0.85,590,0.8099867769494477,0.5240188537026077,0.7205972418745116,0.1773795336484909
4,0.01,1.0,1.0,596,0.8098917552856966,0.5240950449404048,0.7199214377732255,0.1774313747882843
4,0.03,0.6,0.7,194,0.8104598121136809,0.523497648122205,0.7202593398238686,0.17718303203582764
4,0.03,0.6,0.85,191,0.8102503797958425,0.5237877601819908,0.720195983189373,0.17727872729301453
4,0.03,0.6,1.0,256,0.8102187918433323,0.523914459389793,0.7201115076767122,0.177358016371727
4,0.03,0.7,0.7,262,0.810440051133054,0.5234433133698354,0.7206183607526768,0.17717576026916504
4,0.03,0.7,0.85,222,0.8100626665370201,0.5238987566465743,0.7199636755295559,0.17736458778381348
4,0.03,0.7,1.0,191,0.8099570917674178,0.5242228637612059,0.7197313678697388,0.17743857204914093
4,0.03,0.85,0.7,231,0.810237192427812,0.5236913706785278,0.720639479630842,0.17728671431541443
4,0.03,0.85,0.85,244,0.810140275130085,0.5238613539944723,0.7204916474836857,0.17733332514762878
4,0.03,0.85,1.0,239,0.8099721346265869,0.5240634802680509,0.7197102489915735,0.17742763459682465
4,0.03,1.0,0.7,214,0.8101441841503589,0.5237884120660518,0.7202804587020337,0.1773190051317215
