match_id,rank
NA1_5638730130,EMERALD
NA1_5637698577,MASTER
NA1_5638413958,CHALLENGER
NA1_5638184061,PLATINUM
NA1_5638799532,EMERALD
NA1_5639257004,GOLD
NA1_5632049546,BRONZE
NA1_5637649929,EMERALD
NA1_5635611962,MASTER
NA1_5638689723,DIAMOND
NA1_5637751685,EMERALD
NA1_5637479002,IRON
NA1_5638572413,BRONZE
NA1_5638783826,GRANDMASTER
NA1_5628998310,PLATINUM
NA1_5638121270,SILVER
NA1_5635796829,DIAMOND
NA1_5638576341,PLATINUM
NA1_5639119445,PLATINUM
NA1_5637696888,DIAMOND
NA1_5635992769,GOLD
NA1_5635718667,DIAMOND
NA1_5637442454,IRON
NA1_5635701881,EMERALD
NA1_5638882087,MASTER
NA1_5636148659,IRON
NA1_5637191151,GRANDMASTER
NA1_5636262932,DIAMOND
NA1_5629180286,EMERALD
NA1_5638495858,DIAMOND
NA1_5635305354,SILVER
NA1_5636269045,SILVER
NA1_5636288369,GOLD
NA1_5636297667,PLATINUM
NA1_5634344637,DIAMOND
NA1_5638805384,GOLD
NA1_5638951881,IRON
NA1_5633828429,DIAMOND
NA1_5632543302,MASTER
NA1_5632981943,SILVER
NA1_5635596565,GOLD
NA1_5637499813,EMERALD
NA1_5638725826,IRON
NA1_5638305125,CHALLENGER
NA1_5637594540,IRON
NA1_5637644605,GRANDMASTER
NA1_5638848756,BRONZE
NA1_5637789614,BRONZE
NA1_5639148738,GOLD
NA1_5633708217,MASTER
NA1_5639043788,IRON
NA1_5638923669,GRANDMASTER
NA1_5636670349,DIAMOND
NA1_5637390931,IRON
NA1_5631117130,IRON
NA1_5638842289,CHALLENGER
NA1_5628792813,DIAMOND
NA1_5638971668,IRON
NA1_5636231728,PLATINUM
NA1_5638207053,PLATINUM
NA1_5636614730,CHALLENGER
NA1_5638029213,MASTER
NA1_5628770650,GRANDMASTER
